Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Robert,Lie,Johansentunet 6A,Simonsen,5087,Norge,NO,19640101-3270,+47,89 28 54 14,1964-01-01,True
Emilia,Matilainen,Lentokapteenin tie 66,Korsnäs,79616,Finland,FI,19801120-5560,+358,+358996022289,1980-11-20,True
Santeri,Matikainen,Gadolininkatu 2,Oulainen,06203,Finland,FI,19720412-6092,+358,+358 04 5865037,1972-04-12,True
Marianne,Ericsson,Kyrkotorget 812,Karlskrona,92004,Sverige,SE,19410403-3349,+46,015-08 54 87,1941-04-03,True
Erik,Svensson,Furuvägen 6,Växjö,85982,Sverige,SE,19750905-1405,+46,0903-25 90 03,1975-09-05,True
Elisabeth,Johansson,Parktorget 8,Halmstad,36199,Sverige,SE,19710417-2827,+46,+46 (0)8 923 209 16,1971-04-17,True
Courtney,Long,Gamble Mall 9487,Port Stephanie,31943,Danmark,DK,19721011-2417,+45,725-317-6669,1972-10-11,True
Johanna,Johansson,Stationsgatan 1,Piteå,92853,Sverige,SE,19560528-1362,46,0867-695 45,1956-05-28,True
Maj-Britt,Pettersson,Ekgränd 4,Eskilstuna,91878,Sverige,SE,19720426-9344,+46,08-239 09 01,1972-04-26,True
Linnéa,Edlund,Kyrktorget 75,Stockholm,93301,Sverige,SE,19570811-8540,+46,+46 (0)59 10 95 12,1957-08-11,True
Tone,Henriksen,Larsenskogen 51,Haug,3638,Norge,NO,19610123-4494,+47,469 96 636,1961-01-23,True
Maria,Hermansson,Åkerstigen 9,Falun,44079,Sverige,SE,19930319-1182,+46,+46 (0)688 678 17,1993-03-19,True
Joakim,Persson,Idrottsgatan 208,Växjö,11267,Sverige,SE,19770720-2686,+46,+46 (0)50 30 47 99,1977-07-20,True
Nils,Wallin,Skolvägen 96,Östersund,66749,Sverige,SE,19990727-9653,+46,0501-18 71 20,1999-07-27,True
Marcus,Johansson,Furugränd 255,Göteborg,42346,Sverige,SE,19501108-0292,+46,003-347 11 53,1950-11-08,True
Sven,Eriksson,Trädgårdsstigen 83,Helsingborg,31653,Sverige,SE,19490628-1717,+46,08-84 38 48,1949-06-28,True
Jim,Williams,Dustin Fords 480,South Kenneth,54538,Danmark,DK,19640416-8470,+45,(833)750-7329,1964-04-16,True
Oskari,Kivinen,Laurinniityntie 85,Nakkila,97350,Finland,FI,19960113-575D,+358,+358 74 4488757,1996-01-13,True
Margareta,Andersson,Stationsgränd 35,Lund,71318,Sverige,SE,19571017-9549,+46,08-73 41 18,1957-10-17,False
Lars,Eriksson,Strandtorget 4,Mölndal,65197,Sverige,SE,19510308-1014,+46,+46 (0)8 249 247 96,1951-03-08,True
Jessica,Hernandez,William Haven 9173,Lisaside,89363,Danmark,DK,19651013-0023,+45,(724)919-2757x794,1965-10-13,True
Espen,Berg,Alimarka 04,Johansen,3148,Norge,NO,19640817-2724,+45,+47 77 47 09 62,1964-08-17,True
Tommi,Mäkinen,Veropellonkuja 9,Loviisa,99445,Finland,FI,19400509-669T,+358,+358 021172142,1940-05-09,True
Karin,Johansson,Skogsvägen 367,Piteå,44035,Sverige,SE,19940901-0769,+46,051-666 10 23,1994-09-01,True
Gunnel,Andersson,Idrottstorget 135,Lidköping,59664,Sverige,SE,19960324-9348,+46,+46 (0)8 490 171 35,1996-03-24,True
Heidi,Aas,Sæthertoppen 865,Hagen,6930,Norge,NO,19750628-0383,+47,54 44 01 98,1975-06-28,True
Lise,Ruud,Bakkentunet 29,Bakken,8130,Norge,NO,19420523-4569,+47,+4785138843,1942-05-23,True
Gustaf,Lindblad,Nystigen 67,Uppsala,66585,Sverige,SE,20000502-0286,+46,+46 (0)8 642 985 07,2000-05-02,True
Gro,Bakken,Næssroa 550,Vik,4492,Norge,NO,19550629-4056,+47,07 76 23 38,1955-06-29,True
Sissel,Paulsen,Andresenbakken 6,Ellensund,0946,Norge,NO,19441220-3399,+47,958 84 998,1944-12-20,True
Rickard,Nilsson,Villavägen 713,Falun,17480,Sverige,SE,19450920-3680,+46,08-526 03 30,1945-09-20,True
Rose-Marie,Jansson,Gengränd 5,Karlskoga,80419,Sverige,SE,19520625-1699,+46,08-944 21 47,1952-06-25,True
Per,Vikström,Stationsgränd 5,Lidköping,90668,Sverige,SE,19720712-2380,+46,+46 (0)8 275 653 91,1972-07-12,True
Synnøve,Moe,Fredriksenjordet 77A,Annasund,0265,Norge,NO,19661126-4544,+47,907 04 504,1966-11-26,True
Kent,Lundkvist,Backstigen 57,Lidköping,67523,Sverige,SE,19951216-2526,+46,003-40 79 54,1995-12-16,True
Sander,Engen,Kristoffersenhavna 6,Mathisen,9133,Norge,NO,19950726-8279,+47,984 11 093,1995-07-26,True
Tuulikki,Korhonen,Rapakivenkuja 991,Pyhäntä,21215,Finland,FI,19411208-682K,+358,+358 574370737,1941-12-08,True
Sofia,Bergström,Ängsgränd 95,Karlskoga,94987,Sverige,SE,19810303-2159,+46,0585-737 06,1981-03-03,True
Christopher,Torres,Daniels Passage 704,Turnerland,64078,Danmark,DK,19581017-4100,+45,5357862319,1958-10-17,True
Margit,Augustsson,Parkvägen 87,Helsingborg,97437,Sverige,SE,19490509-5149,+46,011-667 32 38,1949-05-09,True
Camilla,Gustafsson,Skolgatan 960,Örebro,45058,Sverige,SE,19840403-9734,+46,08-313 83 92,1984-04-03,True
Carl,Björk,Kyrkgränd 2,Mölndal,19347,Sverige,SE,19780719-7344,+46,037-319 31 43,1978-07-19,True
Margareta,Fredriksson,Skolgatan 483,Jönköping,10222,Sverige,SE,19740606-6808,+46,0810-61 86 32,1974-06-06,True
Ingrid,Dahlgren,Backvägen 328,Borlänge,68731,Sverige,SE,19891013-8382,+46,+46 (0)87 94 74 46,1989-10-13,True
Karin,Olsson,Parkstigen 611,Trollhättan,84359,Sverige,SE,19940822-8364,+46,08-371 89 81,1994-08-22,True
Viola,Månsson,Åkertorget 16,Eskilstuna,63560,Sverige,SE,19460705-4062,+46,+46 (0)629 799 09,1946-07-05,True
Kevin,Wilkins,Evan Stravenue 606,North Brandymouth,71944,Danmark,DK,19691226-8473,+45,4198733705,1969-12-26,True
Sebastian,Berglund,Åkergatan 3,Uppsala,93204,Sverige,SE,19430818-5405,+46,08-323 92 12,1943-08-18,True
Sune,Skoglund,Skolvägen 756,Örnsköldsvik,33828,Sverige,SE,19480214-6549,+46,0973-269 81,1948-02-14,True
Gabriella,Jonsson,Skolgatan 1,Sundsvall,71458,Sverige,SE,19700509-5348,+46,039-55 61 50,1970-05-09,True
Alexander,Karlsson,Kvarnvägen 278,Norrköping,39529,Sverige,SE,19910704-6040,+46,08-57 96 85,1991-07-04,True
Minna,Jaakkola,Biologinkatu 45,Siilinjärvi,99121,Finland,FI,19960827-829P,+358,+358 141490566,1996-08-27,True
Ruth,Halvorsen,Danielsenstubben 3E,Evensen,3585,Norge,NO,19520217-8029,+47,24 79 50 38,1952-02-17,True
Lars,Hedström,Åkergränd 2,Kristianstad,54982,Danmark,SE,19850328-1282,+46,+46 (0)37 38 34 77,1985-03-28,True
Madeleine,Jansson,Furugatan 829,Växjö,73896,Sverige,SE,19410514-0114,+46,+46 (0)8 246 913 76,1941-05-14,True
Mark,Bryant,Bowers Pike 022,Nortonton,13699,Danmark,DK,19761108-4021,+45,649.537.2724x48092,1976-11-08,True
Kåre,Dahl,Jørgensenåsen 391,Siljevær,1032,Norge,NO,19491019-8761,+47,39841291,1949-10-19,True
Sven,Ståhl,Industrigatan 63,Skövde,19865,Sverige,SE,19931012-9256,+46,0656-857 07,1993-10-12,True
Peter,Bengtsson,Åkergatan 071,Helsingborg,74841,Sverige,SE,19900922-6975,+46,08-83 83 75,1990-09-22,True
Sandra,Shepard,Andrew Lights 75228,Diamondview,01338,Danmark,DK,19530320-5910,+45,(476)700-6797,1953-03-20,True
Kent,Högberg,Kvarnvägen 810,Varberg,15075,Sverige,SE,20000817-8901,+46,0756-283 24,2000-08-17,True
Lena,Karlsson,Industrigränd 81,Alingsås,47077,Sverige,SE,19850111-0751,+46,060-61 71 00,1985-01-11,True
Nicole,Bradshaw,Castillo Causeway 76264,Cortezbury,33763,Danmark,DK,19660111-1657,+45,8878338778,1966-01-11,True
Siv,Nilsson,Villavägen 887,Helsingborg,68355,Sverige,SE,19470901-4813,+46,0609-48 01 76,1947-09-01,True
Angela,Quinn,Costa Trace 266,North Michelle,91488,Danmark,DK,19540712-4362,+45,001-330-961-0526,1954-07-12,True
Veikko,Palomäki,Bertel Jungin bulevardi 756,Isokyrö,53406,Finland,FI,19870301-3884,+358,+358 323576915,1987-03-01,True
Barbro,Gustafsson,Ringgatan 3,Göteborg,25487,Sverige,SE,19551212-3096,+46,08-726 248 80,1955-12-12,True
Gerd,Larsen,Mikkelsenåsen 9A,Bøe,0446,Norge,NO,19590603-8617,+47,16 81 98 13,1959-06-03,True
Joseph,Schmidt,John Lane 85782,Juliatown,63713,Danmark,DK,19980110-0077,+45,+1-438-546-7348x353,1998-01-10,True
Michael,Chapman,David Alley 19245,East Nicole,41878,Danmark,DK,19950718-5561,+45,496-601-4628x53634,1995-07-18,True
Caleb,Molina,Jason Ranch 007,East Cassandraburgh,97812,Danmark,DK,19670125-8074,+45,+1-713-312-0014x0791,1967-01-25,True
Maria,Danielsson,Parkgatan 5,Karlskrona,54981,Sverige,SE,19740712-9884,+46,+46 (0)91 16 50 44,1974-07-12,True
Christine,Hill,Ingram Plain 1674,New Brandon,66385,Danmark,DK,19560519-1212,+45,843-745-7559,1956-05-19,True
Else,Pedersen,Edvardsentjernet 22C,Erlingfjord,7135,Norge,NO,19491209-4147,+47,20921060,1949-12-09,True
Pekka,Jokinen,Tahtikatu 839,Ikaalinen,94959,Finland,FI,19940415-391A,+358,009 746 3222,1994-04-15,True
Catharina,Johansson,Idrottsgränd 2,Landskrona,31324,Sverige,SE,19970414-1549,+46,08-55 57 70,1997-04-14,True
Ove,Carlsson,Aspvägen 008,Skövde,27773,Sverige,SE,19570916-6141,+46,091-655 62 85,1957-09-16,True
Elin,Madsen,Rasmussentoppen 6,Aasen,9380,Norge,NO,19841229-0830,+47,+47 56 53 09 03,1984-12-29,True
Monica,Pedersen,Birkelandåsen 1,Malinmark,4431,Norge,NO,19921118-1125,+47,+4711663469,1992-11-18,True
Mari,Aro,Saanatunturinpolku 04,Sastamala,68712,Finland,FI,19680220-299U,+358,0970739885,1968-02-20,True
Whitney,Morales,Regina Curve 73715,Lifort,07028,Danmark,DK,19641001-8865,+45,332-706-6755x55853,1964-10-01,True
Linn,Ek,Skogsstigen 04,Motala,60928,Sverige,SE,19461212-2019,+46,0995-17 88 97,1946-12-12,True
Robin,Sjöberg,Björkstigen 7,Skövde,70993,Sverige,SE,19470609-9035,+46,08-917 15 27,1947-06-09,True
Grete,Rasmussen,Bakkentunet 9,Berge,9231,Norge,NO,19630822-3543,+47,92240778,1963-08-22,True
Emanuel,Johansson,Fabriksstigen 35,Alingsås,77297,Sverige,SE,19840721-4521,+46,+46 (0)340 694 14,1984-07-21,True
Sean,Hernandez,Arnold Pike 095,South Jason,24569,Danmark,DK,19641017-3851,+45,001-427-459-5812x006,1964-10-17,True
Birgitta,Nilsson,Skogsgatan 64,Varberg,18629,Sverige,SE,19590802-3568,+46,0178-977 70,1959-08-02,True
Maja,Nilsson,Villavägen 13,Gävle,42350,Sverige,SE,19970517-5442,+46,051-73 14 97,1997-05-17,True
Henry,Hellström,Villagatan 40,Uddevalla,23586,Sverige,SE,19580707-1025,+46,+46 (0)8 393 333 25,1958-07-07,True
Steven,Dunn,Parker Plaza 5917,Tinaberg,29229,Danmark,DK,19540803-7440,+45,360.232.5229,1954-08-03,True
Louis,Lynch,Lynch Falls 152,Johnville,63417,Danmark,DK,19490902-7417,+45,+1-470-830-4801x12482,1949-09-02,True
Johan,Holmberg,Skolvägen 988,Kristianstad,60823,Sverige,SE,19580202-6857,+46,+46 (0)042 960 81,1958-02-02,True
Stig,Sjöberg,Ringtorget 68,Umeå,17120,Sverige,SE,19490629-6665,+46,+46 (0)8 777 943 10,1949-06-29,True
Jose,Moreno,David Passage 353,North Shawnfurt,14917,Danmark,DK,19860805-4519,+45,795.476.0762,1986-08-05,True
Josefine,Nord,Järnvägstorget 2,Stockholm,82954,Sverige,SE,20000221-7429,+46,+46 (0)282 295 24,2000-02-21,True
Sissel,Hagen,Tangenrøa 082,Anetteås,6841,Norge,NO,19891107-4952,+47,18779617,1989-11-07,True
Erin,Klein,Megan Way 1216,New Alexanderton,92034,Danmark,DK,19990625-1939,+45,001-556-955-5187x545,1999-06-25,True
Carl,Jönsson,Furutorget 07,Ängelholm,94966,Sverige,SE,19461004-8798,+46,08-346 797 68,1946-10-04,True
Bjørg,Jacobsen,Larsengjerdet 4,Maritnes,2376,Norge,NO,19670712-8570,+47,58 83 45 75,1967-07-12,True
Melissa,Harrell,Clark Dale 911,Lake Michael,19100,Danmark,DK,19690806-4377,+45,(597)881-6868,1969-08-06,True
Anneli,Abrahamsson,Trädgårdsvägen 8,Kristianstad,27566,Sverige,SE,19790228-6733,+46,+46 (0)49 00 26 43,1979-02-28,True
Annika,Johansson,Järnvägsgränd 9,Kristianstad,30343,Sverige,SE,19980304-5161,+46,0793-37 36 50,1998-03-04,True
Katja,Lehtonen,Freesenbulevardi 02,Rauma,21269,Finland,FI,19661115-091U,+358,(+358) 846524895,1966-11-15,True
Hege,Martinsen,Jenssenmarka 838,Jakobsen,2134,Norge,NO,19880224-1746,+47,49681409,1988-02-24,True
Suzanne,Hill,Brown Lakes 542,South Danielstad,09452,Danmark,DK,19920524-2656,+45,7816110079,1992-05-24,True
Åke,Pettersson,Parkgränd 36,Malmö,59863,Sverige,SE,19770717-3922,+46,08-023 599 19,1977-07-17,True
Edit,Rosén,Kvarngränd 188,Lidköping,15096,Sverige,SE,19671008-7568,+46,0026-03 24 05,1967-10-08,True
Jorunn,Jakobsen,Paulseneggen 3,Malinnes,4730,Norge,NO,19920930-9674,+47,+47 42 67 82 92,1992-09-30,True
Kristina,Johansson,Kyrkogränd 17,Trelleborg,81503,Sverige,SE,19690223-7828,+46,023-047 30 52,1969-02-23,True
Fredrik,Arnesen,Næssalléen 4C,Marenfjord,6802,Norge,NO,19851221-6273,+47,04 01 32 09,1985-12-21,True
Jonathan,Rodriguez,Richardson Summit 319,Kristieview,39752,Danmark,DK,19921022-2608,+45,224-380-1101x70764,1992-10-22,True
Joseph,Floyd,Lisa Loaf 695,Anthonyport,41574,Danmark,DK,19930814-4241,+45,+1-732-746-6606x561,1993-08-14,True
Matthew,George,Deanna Union 8301,East Allisonshire,63586,Danmark,DK,19920426-4741,+45,529.508.5439x8422,1992-04-26,True
Emilia,Månsson,Kvarngatan 60,Kalmar,78866,Sverige,SE,20001201-0896,+46,0129-241 41,2000-12-01,True
Linnéa,Göransson,Backgatan 881,Motala,35637,Sverige,SE,19490521-7316,+46,+46 (0)195 502 70,1949-05-21,True
Elisabeth,Simonsen,Bakkenplassen 56D,Nilshavn,6156,Norge,NO,19460825-2164,+47,28824676,1946-08-25,True
Wenche,Lund,Olsenstykket 9,Larsberg,9954,Norge,NO,19491108-2183,+47,87 35 07 72,1949-11-08,True
Anette,Berg,Parkvägen 2,Uddevalla,75756,Sverige,SE,19580512-5274,+46,098-53 34 81,1958-05-12,True
Annika,Söderberg,Ringgatan 7,Skellefteå,44349,Sverige,SE,19640524-5331,+46,08-391 10 98,1964-05-24,True
Veronica,Williams,Nancy Creek 33898,Lisafurt,26577,Danmark,DK,19740722-8123,+45,+1-401-800-7722x75156,1974-07-22,True
Elin,Svendsen,Jensenspranget 686,Sverrefoss,3618,Norge,NO,19601103-9063,+47,41359333,1960-11-03,True
Hege,Lie,Solbergjordet 41,Kristensen,6810,Norge,NO,19481129-2641,+47,46737908,1948-11-29,True
Aurora,Ahola,Harbonkatu 7,Kokkola,06945,Finland,FI,19680213-394C,+358,043 807 3239,1968-02-13,True
Margaret,Harrison,Owens Prairie 374,New Tracy,46782,Danmark,DK,19670809-0679,+45,784-447-0012,1967-08-09,True
Michael,Owens,Anderson Plains 43960,South Stevemouth,68558,Danmark,DK,19750813-4931,+45,(616)707-6501x2705,1975-08-13,True
Sara,Berg,Christensenbråten 1,Astridø,6913,Norge,NO,19950726-0297,+47,39 78 51 75,1995-07-26,True
John,Hernandez,Jason Meadows 592,Port Robertberg,75267,Danmark,DK,19401020-5402,+45,(500)578-5688,1940-10-20,True
Grete,Knutsen,Madsenhagen 6,Jørgensen,4107,Norge,NO,20000518-7033,+47,90401532,2000-05-18,True
Atte,Rantala,Oraspolku 24,Punkalaidun,04804,Finland,FI,19721205-777Y,+358,+358 133963390,1972-12-05,True
Silje,Gundersen,Lienstykket 4,Johannessen,5954,Norge,NO,19951211-3397,+47,402 98 253,1995-12-11,True
Maria,Abrahamsson,Backgatan 0,Trelleborg,40432,Sverige,SE,19400801-3739,+46,+46 (0)703 755 49,1940-08-01,True
Vilde,Evensen,Nguyentjernet 24F,Marimark,9068,Norge,NO,19820307-3233,+47,+47 07 59 06 61,1982-03-07,True
Birgitta,Berggren,Parkvägen 703,Umeå,13132,rverige,SE,19990411-8389,+46,08-97 03 42,1999-04-11,True
Mikael,Johansson,Ängsstigen 586,Uppsala,36562,Sverige,SE,19540601-8086,+46,08-945 96 83,1954-06-01,True
Matti,Tuominen,Rukokatu 5,Loviisa,84663,Finland,FI,19430602-461Y,+358,0780124577,1943-06-02,True
Gunnar,Johannessen,Sivertsenringen 5,Jensen,5484,Norge,NO,19631006-3938,+47,91532193,1963-10-06,True
Frode,Jensen,Lieekra 5,Solheim,1449,Norge,NO,19520803-2861,+47,+47 63 06 03 03,1952-08-03,True
Margareta,Lindberg,Fabriksvägen 568,Karlskrona,32956,Sverige,SE,19830227-8153,+46,+46 (0)8 912 923 64,1983-02-27,True
Christopher,Schneider,Griffith Corner 47174,Morrisberg,33366,Danmark,DK,19781208-2479,+45,+1-446-947-6161x29146,1978-12-08,True
Anna,Ström,Ängsgatan 749,Gävle,88874,Sverige,SE,19801126-3832,+46,+46 (0)012 863 62,1980-11-26,True
Charlotta,Nilsson,Genstigen 498,Uddevalla,69523,Sverige,SE,19941018-3492,+46,0042-583 00,1994-10-18,True
Maria,Isaksson,Furuvägen 10,Luleå,96674,Sverige,SE,20000210-4026,+46,08-753 918 40,2000-02-10,True
Siri,Aas,Myklebustjordet 56,Jensen,4827,Norge,NO,19770922-7796,+47,993 63 585,1977-09-22,True
Bjørg,Helland,Aasstien 8B,Nygård,6798,Norge,NO,19680925-2294,+47,472 98 930,1968-09-25,True
Bror,Svensson,Björkvägen 374,Stockholm,20087,Sverige,SE,19430407-1885,+46,0137-67 31 65,1943-04-07,True
Henrik,Lindgren,Parkvägen 01,Mölndal,96788,Sverige,SE,19860117-7936,+46,+46 (0)881 178 63,1986-01-17,True
Thomas,Sørensen,Lundflata 51A,Jonstrøm,3049,Norge,NO,19660929-2095,+47,+47 45 49 27 11,1966-09-29,True
Emma,Axelsson,Industrigatan 94,Malmö,38970,Sverige,SE,19800921-3923,+46,08-44 33 96,1980-09-21,True
Anna,Persson,Kvarngatan 652,Karlskoga,42749,Sverige,SE,19690916-1203,+46,0028-935 09,1969-09-16,True
Einar,Nguyen,Strandgjerdet 46,Ødegård,8361,Norge,NO,19771225-8219,+47,+4792150583,1977-12-25,True
Martine,Johansen,Sivertsenengen 35A,Unnihamn,1485,Norge,NO,19700825-2976,+47,34588214,1970-08-25,True
Nils,Andersson,Fabriksgränd 57,Sandviken,10803,Sverige,SE,19880318-8086,+46,+46 (0)8 507 616 58,1988-03-18,True
Birgitta,Engström,Bäckvägen 320,Gävle,50547,Sverige,SE,19800727-9215,+46,0895-641 04,1980-07-27,True
Marianne,Göransson,Fabriksgatan 88,Stockholm,76269,Sverige,SE,19690823-2415,+46,08-062 50 41,1969-08-23,True
Rut,Åström,Gengatan 55,Varberg,52244,Sverige,SE,19930626-5428,+46,034-239 07 24,1993-06-26,True
Zachary,Gibson,Morgan Divide 7889,Strongstad,28638,Danmark,DK,19840607-6266,+45,948-293-8570x7756,1984-06-07,True
Gunnar,Eklund,Parkgatan 8,Jönköping,75382,Sverige,SE,19710410-6546,+46,0240-31 95 22,1971-04-10,True
Martine,Henriksen,Sivertsenjordet 9A,Mariaby,5712,Norge,NO,19841228-6740,+47,995 05 301,1984-12-28,True
Daniel,Smith,Lowery Courts 54927,Mariamouth,02598,Danmark,DK,20001228-1295,+45,756-642-8716x3766,2000-12-28,True
Sarah,Freeman,Kimberly Tunnel 981,North Rebecca,04172,Danmark,DK,19590625-3553,+45,001-864-542-6737x1634,1959-06-25,True
Brian,Haas,Duane Radial 5176,Laurenchester,60317,Danmark,DK,20000721-4462,+45,968.305.5081,2000-07-21,True
Linnea,Hansson,Parkstigen 49,Växjö,77983,Sverige,SE,19481218-9715,+46,08-866 243 14,1948-12-18,True
Anita,Johansson,Fabriksgatan 93,Halmstad,94861,Sverige,SE,19700922-5964,+46,+46 (0)627 962 73,1970-09-22,True
Peter,Börjesson,Björkvägen 7,Södertälje,53247,Sverige,SE,19640513-7764,+46,017-54 57 20,1964-05-13,True
Evert,Skoglund,Idrottsvägen 011,Trollhättan,67049,Sverige,SE,19880713-6817,+46,+46 (0)87 10 35 56,1988-07-13,True
Gunnar,Andersson,Storgatan 37,Sundsvall,27330,Sverige,SE,19400106-4484,+46,+46 (0)357 155 23,1940-01-06,True
Christian,Larsen,Brekkestien 3A,Marennes,8403,Norge,NO,19711031-8981,+47,426 40 157,1971-10-31,True
Johan,Forslund,Parktorget 8,Gävle,49200,Sverige,SE,19650625-5746,+46,089-605 02 95,1965-06-25,True
Karin,Pettersson,Åkervägen 24,Örebro,91483,Sverige,SE,19690327-2773,+46,+46 (0)69 67 71 29,1969-03-27,True
Torbjørn,Iversen,Aliskrenten 2,Stianodden,5248,Norge,NO,19971102-2769,+47,40920533,1997-11-02,True
Siv,Wikström,Kyrkogatan 67,Södertälje,46410,Sverige,SE,19970912-5950,+46,059-535 64 88,1997-09-12,True
Jonathan,Johnson,Jasmine Course 1514,North Amanda,16609,Danmark,DK,19730222-8259,+45,834-765-9803x8728,1973-02-22,True
Jan,Sandström,Kvarntorget 108,Nyköping,86158,Sverige,SE,19590215-7935,+46,055-02 20 30,1959-02-15,True
Stephanie,Welch,Oliver Heights 6951,Lake Nicoletown,24174,Danmark,DK,19600319-1207,+45,666.709.0185x2348,1960-03-19,True
Joseph,Allen,Padilla Springs 7038,Scottmouth,79365,Danmark,DK,19440724-9368,+45,+1-955-791-5136x3487,1944-07-24,True
Jesper,Söderberg,Fabriksgatan 489,Eskilstuna,68280,Sverige,SE,19861210-1245,+46,026-493 72 87,1986-12-10,True
Anne,Lehtonen,Ormustie 7,Suomussalmi,14037,Finland,FI,19860723-513M,+358,+358293031002,1986-07-23,True
Kjell,Melin,Backtorget 207,Piteå,88090,Sverige,SE,19750616-7012,+46,+46 (0)355 797 15,1975-06-16,True
Lilly,Carlsson,Skolstigen 0,Lidingö,12532,Sverige,SE,19560704-0428,+46,018-542 09 83,1956-07-04,True
Christopher,Sheppard,Peter Road 516,New Shawnton,47519,Danmark,DK,19850524-9597,+45,2034486911,1985-05-24,True
Viola,Mårtensson,Ängsgatan 4,Uppsala,82494,Sverige,SE,19860603-7513,+46,08-69 08 10,1986-06-03,True
Kyle,Huynh,Aaron Forks 78390,West William,62665,Danmark,DK,19970620-8719,+45,280-944-4048x69117,1997-06-20,True
Øystein,Karlsen,Jørgensenspranget 4,Asbjørnsand,1334,Norge,NO,19481119-3173,+47,37 70 80 24,1948-11-19,True
Juhani,Aho,Maasälvänkatu 286,Nokia,74156,Finland,FI,19931028-864S,+358,+358 024705117,1993-10-28,True
Lars,Hanssen,Kristiansenmoen 02B,Torhamn,5519,Norge,NO,19551223-2604,+47,99586036,1955-12-23,True
Steinar,Berg,Knutsenkroken 4,Jonvik,9741,Norge,NO,19800308-4963,+47,73 75 81 80,1980-03-08,True
Jason,Phelps,Jean Curve 4655,Lake Joanna,99698,Danmark,DK,19690904-8245,+45,471-713-2037x712,1969-09-04,True
Joshua,Harris,Rachael Ways 280,Port Ericatown,08425,Danmark,DK,19710810-5852,+45,280-563-8327x767,1971-08-10,True
Ulla,Bengtsson,Kyrkostigen 90,Norrköping,81252,Sverige,SE,19860125-6943,+46,0573-448 87,1986-01-25,True
Michael,White,Mendez Shoal 753,Franklinbury,66484,Danmark,DK,19550728-0354,+45,(589)655-7692x273,1955-07-28,True
Mathias,Evensen,Evenseneggen 81,Monicavik,4694,Norge,NO,19571226-5867,+47,437 08 146,1957-12-26,True
Tor,Isaksen,Vikstykket 4D,Kristinefjell,0995,Norge,NO,19610624-1381,+47,54997450,1961-06-24,True
Christina,Lindell,Järnvägstorget 81,Borås,81546,Sverige,SE,19581107-9814,+46,+46 (0)8 383 085 75,1958-11-07,True
Kimberly,Allen,Johnson Circle 444,Port Andrew,25368,Danmark,DK,19730510-5515,+45,001-585-632-6849,1973-05-10,True
Maria,Olsson,Trädgårdsvägen 81,Jönköping,93243,Sverige,SE,20001112-6850,+46,092-559 87 58,2000-11-12,True
Diane,Mccall,Ian Way 3396,South Dylanside,17851,Danmark,DK,19860511-6498,+45,279.202.0002,1986-05-11,True
Deborah,Castaneda,Simmons Crescent 5224,Leeport,63808,Danmark,DK,19941222-0106,+45,001-637-937-1475x3378,1994-12-22,True
Carl,Berg,Parkgatan 148,Karlskrona,32755,Sverige,SE,19900617-9787,+46,+46 (0)8 389 066 11,1990-06-17,True
Anna,Stenberg,Åkertorget 88,Gävle,23934,Sverige,SE,19621017-4326,+46,+46 (0)897 522 31,1962-10-17,True
Theodore,Chang,Manuel Crossroad 58604,Kellyhaven,63192,Danmark,DK,19871109-4731,+45,(329)311-4977x81322,1987-11-09,True
Ulf,Gustafsson,Grangatan 69,Trelleborg,77466,Sverige,SE,19750325-5761,+46,+46 (0)456 044 43,1975-03-25,True
Chelsea,Fisher,Ewing Cliff 76933,New Anita,60741,Danmark,DK,19541016-3595,+45,566.796.4419,1954-10-16,True
Jessica,Parker,John Isle 211,Judymouth,96137,Danmark,DK,19421228-2907,+45,267.537.5105x3541,1942-12-28,True
Nils,Andersson,Ekstigen 66,Örebro,63504,Sverige,SE,19760830-2567,+46,+46 (0)8 168 858 09,1976-08-30,True
Vera,Larsson,Backvägen 172,Mölndal,18559,Sverige,SE,19691011-6001,+46,08-40 74 50,1969-10-11,True
Lisa,Martinez,Williams Locks 918,South Karen,91036,Danmark,DK,19970712-5040,+45,+1-696-344-4313,1997-07-12,True
Catherine,Lopez,Cantu Islands 4721,North Lauren,98739,Danmark,DK,19400325-0307,+45,001-816-216-5215x16362,1940-03-25,True
Maria,Löfgren,Ängsvägen 574,Växjö,84391,Sverige,SE,19630214-7538,+46,+46 (0)974 695 00,1963-02-14,True
Taylor,Harrell,Linda Field 562,East Brian,51420,Danmark,DK,19911006-4022,+45,355-480-6635,1991-10-06,True
Anna,Persson,Nygatan 747,Motala,78744,Sverige,SE,19530715-9756,+46,040-304 27 90,1953-07-15,True
Alexis,Yang,Coleman Ways 5040,Martinezfurt,88489,Danmark,DK,19481104-0492,+45,001-666-241-6419x8424,1948-11-04,True
Maria,Andersson,Strandgränd 9,Piteå,56531,Sverige,SE,19661126-8516,+46,004-792 43 71,1966-11-26,True
Ingemar,Karlsson,Björkstigen 386,Borås,75138,Sverige,SE,19831119-4538,+46,+46 (0)74 54 24 00,1983-11-19,True
Roger,Karlsson,Aspgatan 32,Falun,30855,Sverige,SE,19620524-1882,+46,011-221 86 69,1962-05-24,True
John,Lind,Fabriksvägen 59,Borlänge,26731,Sverige,SE,19601214-5722,+45,+46 (0)668 242 03,1960-12-14,True
